"descriptor","label"
"http://id.nlm.nih.gov/mesh/D000182","ACTH Syndrome, Ectopic"
"http://id.nlm.nih.gov/mesh/D049913","ACTH-Secreting Pituitary Adenoma"
"http://id.nlm.nih.gov/mesh/D000008","Abdominal Neoplasms"
"http://id.nlm.nih.gov/mesh/D058739","Aberrant Crypt Foci"
"http://id.nlm.nih.gov/mesh/D049309","Acanthoma"
"http://id.nlm.nih.gov/mesh/D018250","Acrospiroma"
"http://id.nlm.nih.gov/mesh/D050398","Adamantinoma"
"http://id.nlm.nih.gov/mesh/D000230","Adenocarcinoma"
"http://id.nlm.nih.gov/mesh/D065311","Adenocarcinoma in Situ"
"http://id.nlm.nih.gov/mesh/D000077192","Adenocarcinoma of Lung"
"http://id.nlm.nih.gov/mesh/D002282","Adenocarcinoma, Bronchiolo-Alveolar"
"http://id.nlm.nih.gov/mesh/D018262","Adenocarcinoma, Clear Cell"
"http://id.nlm.nih.gov/mesh/D018263","Adenocarcinoma, Follicular"
"http://id.nlm.nih.gov/mesh/D002288","Adenocarcinoma, Mucinous"
"http://id.nlm.nih.gov/mesh/D000231","Adenocarcinoma, Papillary"
"http://id.nlm.nih.gov/mesh/D002293","Adenocarcinoma, Scirrhous"
"http://id.nlm.nih.gov/mesh/D018266","Adenocarcinoma, Sebaceous"
"http://id.nlm.nih.gov/mesh/D000232","Adenofibroma"
"http://id.nlm.nih.gov/mesh/D000235","Adenolymphoma"
"http://id.nlm.nih.gov/mesh/D000236","Adenoma"
"http://id.nlm.nih.gov/mesh/D000239","Adenoma, Acidophil"
"http://id.nlm.nih.gov/mesh/D000237","Adenoma, Basophil"
"http://id.nlm.nih.gov/mesh/D002759","Adenoma, Bile Duct"
"http://id.nlm.nih.gov/mesh/D000238","Adenoma, Chromophobe"
"http://id.nlm.nih.gov/mesh/D007516","Adenoma, Islet Cell"
"http://id.nlm.nih.gov/mesh/D018248","Adenoma, Liver Cell"
"http://id.nlm.nih.gov/mesh/D018249","Adenoma, Oxyphilic"
"http://id.nlm.nih.gov/mesh/D008949","Adenoma, Pleomorphic"
"http://id.nlm.nih.gov/mesh/D006607","Adenoma, Sweat Gland"
"http://id.nlm.nih.gov/mesh/D018253","Adenoma, Villous"
"http://id.nlm.nih.gov/mesh/D018254","Adenomatoid Tumor"
"http://id.nlm.nih.gov/mesh/D018255","Adenomatosis, Pulmonary"
"http://id.nlm.nih.gov/mesh/D011125","Adenomatous Polyposis Coli"
"http://id.nlm.nih.gov/mesh/D018256","Adenomatous Polyps"
"http://id.nlm.nih.gov/mesh/D055331","Adenomyoepithelioma"
"http://id.nlm.nih.gov/mesh/D018194","Adenomyoma"
"http://id.nlm.nih.gov/mesh/D018195","Adenosarcoma"
"http://id.nlm.nih.gov/mesh/D000306","Adrenal Cortex Neoplasms"
"http://id.nlm.nih.gov/mesh/D000310","Adrenal Gland Neoplasms"
"http://id.nlm.nih.gov/mesh/D000314","Adrenal Rest Tumor"
"http://id.nlm.nih.gov/mesh/D018246","Adrenocortical Adenoma"
"http://id.nlm.nih.gov/mesh/D018268","Adrenocortical Carcinoma"
"http://id.nlm.nih.gov/mesh/D000564","Ameloblastoma"
"http://id.nlm.nih.gov/mesh/D000694","Anal Gland Neoplasms"
"http://id.nlm.nih.gov/mesh/D000708","Anaplasia"
"http://id.nlm.nih.gov/mesh/D018322","Angiofibroma"
"http://id.nlm.nih.gov/mesh/D000794","Angiokeratoma"
"http://id.nlm.nih.gov/mesh/D018206","Angiolipoma"
"http://id.nlm.nih.gov/mesh/D018207","Angiomyolipoma"
"http://id.nlm.nih.gov/mesh/D018229","Angiomyoma"
"http://id.nlm.nih.gov/mesh/D060426","Anti-N-Methyl-D-Aspartate Receptor Encephalitis"
"http://id.nlm.nih.gov/mesh/D001005","Anus Neoplasms"
"http://id.nlm.nih.gov/mesh/D001063","Appendiceal Neoplasms"
"http://id.nlm.nih.gov/mesh/D001079","Apudoma"
"http://id.nlm.nih.gov/mesh/D016080","Arachnoid Cysts"
"http://id.nlm.nih.gov/mesh/D001254","Astrocytoma"
"http://id.nlm.nih.gov/mesh/D065309","Atypical Squamous Cells of the Cervix"
"http://id.nlm.nih.gov/mesh/D001353","Avian Leukosis"
"http://id.nlm.nih.gov/mesh/D001471","Barrett Esophagus"
"http://id.nlm.nih.gov/mesh/D001478","Basal Cell Nevus Syndrome"
"http://id.nlm.nih.gov/mesh/D001650","Bile Duct Neoplasms"
"http://id.nlm.nih.gov/mesh/D001661","Biliary Tract Neoplasms"
"http://id.nlm.nih.gov/mesh/D058249","Birt-Hogg-Dube Syndrome"
"http://id.nlm.nih.gov/mesh/D001752","Blast Crisis"
"http://id.nlm.nih.gov/mesh/D001845","Bone Cysts"
"http://id.nlm.nih.gov/mesh/D017824","Bone Cysts, Aneurysmal"
"http://id.nlm.nih.gov/mesh/D019046","Bone Marrow Neoplasms"
"http://id.nlm.nih.gov/mesh/D001859","Bone Neoplasms"
"http://id.nlm.nih.gov/mesh/D001913","Bowen's Disease"
"http://id.nlm.nih.gov/mesh/D001932","Brain Neoplasms"
"http://id.nlm.nih.gov/mesh/D020295","Brain Stem Neoplasms"
"http://id.nlm.nih.gov/mesh/D001935","Branchioma"
"http://id.nlm.nih.gov/mesh/D000071960","Breast Carcinoma In Situ"
"http://id.nlm.nih.gov/mesh/D047688","Breast Cyst"
"http://id.nlm.nih.gov/mesh/D001943","Breast Neoplasms"
"http://id.nlm.nih.gov/mesh/D018567","Breast Neoplasms, Male"
"http://id.nlm.nih.gov/mesh/D001948","Brenner Tumor"
"http://id.nlm.nih.gov/mesh/D001984","Bronchial Neoplasms"
"http://id.nlm.nih.gov/mesh/D001994","Bronchogenic Cyst"
"http://id.nlm.nih.gov/mesh/D002051","Burkitt Lymphoma"
"http://id.nlm.nih.gov/mesh/D062688","Buschke-Lowenstein Tumor"
"http://id.nlm.nih.gov/mesh/D063646","Carcinogenesis"
"http://id.nlm.nih.gov/mesh/D002275","Carcinoid Heart Disease"
"http://id.nlm.nih.gov/mesh/D002276","Carcinoid Tumor"
"http://id.nlm.nih.gov/mesh/D002277","Carcinoma"
"http://id.nlm.nih.gov/mesh/D002279","Carcinoma 256, Walker"
"http://id.nlm.nih.gov/mesh/D002278","Carcinoma in Situ"
"http://id.nlm.nih.gov/mesh/D018267","Carcinoma, Acinar Cell"
"http://id.nlm.nih.gov/mesh/D003528","Carcinoma, Adenoid Cystic"
"http://id.nlm.nih.gov/mesh/D018196","Carcinoma, Adenosquamous"
"http://id.nlm.nih.gov/mesh/D002280","Carcinoma, Basal Cell"
"http://id.nlm.nih.gov/mesh/D002281","Carcinoma, Basosquamous"
"http://id.nlm.nih.gov/mesh/D002283","Carcinoma, Bronchogenic"
"http://id.nlm.nih.gov/mesh/D002284","Carcinoma, Brown-Pearce"
"http://id.nlm.nih.gov/mesh/D044584","Carcinoma, Ductal"
"http://id.nlm.nih.gov/mesh/D018270","Carcinoma, Ductal, Breast"
"http://id.nlm.nih.gov/mesh/D002286","Carcinoma, Ehrlich Tumor"
"http://id.nlm.nih.gov/mesh/D018236","Carcinoma, Embryonal"
"http://id.nlm.nih.gov/mesh/D018269","Carcinoma, Endometrioid"
"http://id.nlm.nih.gov/mesh/D018286","Carcinoma, Giant Cell"
"http://id.nlm.nih.gov/mesh/D006528","Carcinoma, Hepatocellular"
"http://id.nlm.nih.gov/mesh/D002285","Carcinoma, Intraductal, Noninfiltrating"
