"p","pgv","h","hgv"
"http://linkedgeodata.org/triplify/node435139246","POINT(9.5027342 51.3595924)","http://linkedgeodata.org/triplify/way304494593","LINESTRING(9.9197306 51.5224448,9.919709 51.5224647,9.9201707 51.523675,9.920269 51.5239184,9.9203283 51.524043,9.9204154 51.5242091,9.9204952 51.5243464,9.9206324 51.5245425,9.9207288 51.5246914,9.9209828 51.5249555,9.9214112 51.5252797,9.9216652 51.5254655,9.9218515 51.52571,9.9218506 51.5257896,9.9217913 51.5258381,9.9217227 51.5258635,9.9214362 51.5258565,9.9212211 51.5258312,9.9210069 51.5257896,9.9207548 51.52571,9.920586 51.5256535,9.9197127 51.5253674,9.9194916 51.5253332,9.9192309 51.5253152,9.9189314 51.5253117,9.9184262 51.5252891,9.9180615 51.5252832,9.9167347 51.5252575,9.9165987 51.5252897,9.9164351 51.5253312,9.916271 51.5253107,9.9156924 51.5252064,9.9156348 51.5252597,9.9150081 51.5251751,9.9126365 51.5248981,9.912589 51.5227257,9.91423 51.5227281,9.9146711 51.5227269,9.9148149 51.5227268,9.9148209 51.5225677,9.9149599 51.5225582,9.9156243 51.5225091,9.9181092 51.5223547,9.918073 51.5222672,9.9180654 51.5222116,9.9180761 51.5221773,9.9181113 51.5221391,9.9182964 51.5219943,9.9186264 51.521955,9.9187558 51.5223047,9.9190765 51.5223287,9.9196978 51.5223599,9.9197306 51.5224448)"
"http://linkedgeodata.org/triplify/node1042140681","POINT(-94.6260986 39.1130981)","http://linkedgeodata.org/triplify/way23449208","LINESTRING(-94.5524642 39.1469067,-94.5527824 39.1476398,-94.5526054 39.1479788,-94.5529058 39.147879,-94.553241 39.1478977,-94.5538479 39.1480247,-94.5537345 39.1487172,-94.5535987 39.1521242,-94.5535971 39.1521651,-94.5511796 39.1521443,-94.5494307 39.1520944,-94.5497801 39.1507508,-94.5493357 39.1507474,-94.5490622 39.1490771,-94.5486598 39.1489773,-94.5488765 39.1472661,-94.5516745 39.1470465,-94.5524642 39.1469067)"
"http://linkedgeodata.org/triplify/node1042140681","POINT(-94.6260986 39.1130981)","http://linkedgeodata.org/triplify/way265532361","LINESTRING(-94.6117586 39.0522737,-94.6112783 39.0522724,-94.6112773 39.0529296,-94.6112819 39.0531518,-94.6108313 39.0531435,-94.610766 39.0531431,-94.610766 39.0532566,-94.6095851 39.0532644,-94.6095878 39.0536748,-94.6084881 39.0536768,-94.6073777 39.0536893,-94.6073937 39.0542725,-94.6079302 39.0543059,-94.6078739 39.0549432,-94.6073857 39.0549474,-94.6073803 39.0572343,-94.6073642 39.0582278,-94.6073723 39.0586464,-94.6073468 39.0618486,-94.6097823 39.0618402,-94.6102275 39.0617153,-94.6111716 39.0610322,-94.6120031 39.0603949,-94.612266 39.0603241,-94.6128346 39.0602949,-94.6128507 39.0598409,-94.6125878 39.0593369,-94.612046 39.0586412,-94.6117295 39.0581497,-94.6116652 39.0575124,-94.6117134 39.0567584,-94.6117586 39.0522737)"
"http://linkedgeodata.org/triplify/node435139246","POINT(9.5027342 51.3595924)","http://linkedgeodata.org/triplify/way251916688","LINESTRING(9.5100816 51.3283035,9.510658 51.3292865,9.5108977 51.3297102,9.5113678 51.3305695,9.5113083 51.3306082,9.5088208 51.3305782,9.5088457 51.3304021,9.5086476 51.3303808,9.5087598 51.3298005,9.5075129 51.3296781,9.50756 51.3294519,9.5076701 51.329228,9.5075514 51.3292043,9.5068773 51.3291596,9.5071028 51.3287005,9.5062283 51.3286219,9.5057554 51.3280831,9.5057638 51.3279819,9.5064905 51.3269763,9.5069492 51.3262627,9.5070433 51.3260651,9.5071136 51.3258603,9.5071845 51.3256235,9.5072556 51.3251647,9.5077874 51.3251711,9.5078439 51.3252003,9.5078409 51.3252987,9.5082432 51.3252933,9.5082419 51.3253934,9.5089225 51.325385,9.5094629 51.326548,9.5095084 51.3266921,9.5095236 51.3267958,9.5095488 51.3270596,9.5095467 51.3274362,9.5095581 51.3275986,9.5097037 51.3276014,9.5099289 51.3280439,9.5100816 51.3283035)"
"http://linkedgeodata.org/triplify/node1042140681","POINT(-94.6260986 39.1130981)","http://linkedgeodata.org/triplify/way375837689","LINESTRING(-94.2660634 39.026983,-94.2659223 39.0264935,-94.2657451 39.026027,-94.2657451 39.0256879,-94.2658239 39.0255707,-94.2658475 39.0253049,-94.2661933 39.0250535,-94.2665018 39.0246711,-94.2665674 39.0241256,-94.2663442 39.0236616,-94.2642965 39.02358,-94.2642834 39.0242326,-94.2623604 39.0241612,-94.2622816 39.0247986,-94.2616712 39.0247935,-94.2615465 39.0269859,-94.2626885 39.0270522,-94.2634367 39.0270522,-94.2649594 39.0271185,-94.2656256 39.0271516,-94.2660634 39.026983)"
"http://linkedgeodata.org/triplify/node1042140681","POINT(-94.6260986 39.1130981)","http://linkedgeodata.org/triplify/way375969746","LINESTRING(-94.4822085 38.9260848,-94.4821934 38.9255505,-94.483087 38.9249039,-94.4841612 38.9245124,-94.4853316 38.923967,-94.4848736 38.923404,-94.4838107 38.9227442,-94.4799765 38.9226687,-94.47871 38.9226775,-94.4780994 38.9229458,-94.478122 38.9233241,-94.4780089 38.9247272,-94.4785459 38.9247712,-94.4784669 38.9260512,-94.4820684 38.9262271,-94.4822085 38.9260848)"
"http://linkedgeodata.org/triplify/node253738939","POINT(29.777731 62.5910393)","http://linkedgeodata.org/triplify/node253738939","POINT(29.777731 62.5910393)"
"http://linkedgeodata.org/triplify/node435139246","POINT(9.5027342 51.3595924)","http://linkedgeodata.org/triplify/way157427248","LINESTRING(9.1156743 51.1190342,9.1159731 51.1186745,9.1156499 51.1183721,9.1159365 51.1180047,9.1157292 51.1177445,9.1159426 51.1173886,9.1150707 51.1171398,9.1152902 51.1168451,9.1146927 51.1166384,9.1143886 51.1165142,9.1139327 51.1163485,9.1138881 51.1163325,9.1134608 51.1161794,9.1134083 51.1161605,9.1132515 51.1163491,9.113214 51.1163932,9.1131607 51.1164571,9.1130627 51.1165746,9.1122966 51.116359,9.1126137 51.1159227,9.1121381 51.115739,9.1114492 51.1160643,9.110316 51.1156918,9.1099669 51.1159254,9.111767 51.1171309,9.112443 51.1173503,9.1132364 51.1176277,9.1130563 51.1178446,9.1130709 51.1181196,9.1156743 51.1190342)"
"http://linkedgeodata.org/triplify/node435139246","POINT(9.5027342 51.3595924)","http://linkedgeodata.org/triplify/way371413873","LINESTRING(9.3736264 51.7883044,9.3741453 51.7881332,9.3743518 51.7882383,9.374515 51.7880096,9.3765535 51.7885824,9.378189 51.7889615,9.3792649 51.7891634,9.3788952 51.7898577,9.37682 51.7899566,9.3770199 51.7894518,9.3759007 51.7892994,9.3757374 51.7897114,9.3755409 51.7896805,9.3754743 51.7898392,9.3753211 51.7898042,9.3752711 51.7898454,9.3751645 51.7898969,9.3750346 51.7899072,9.374958 51.7898845,9.3743917 51.7894498,9.374455 51.7892932,9.3746915 51.7893262,9.3748814 51.7892149,9.3748214 51.7889841,9.3747748 51.7889779,9.3747779 51.7889646,9.3736264 51.7883044)"
"http://linkedgeodata.org/triplify/node435139246","POINT(9.5027342 51.3595924)","http://linkedgeodata.org/triplify/way304497092","LINESTRING(9.8775047 51.4976353,9.8781701 51.4976251,9.8781987 51.4976247,9.8782433 51.4975897,9.87865 51.4975238,9.8789161 51.4974614,9.8791514 51.4973518,9.8792985 51.4972784,9.879505 51.4968878,9.8815631 51.4971994,9.8816831 51.4973106,9.8817957 51.4974086,9.8817957 51.4974477,9.8811731 51.4974403,9.880314 51.4974549,9.8798424 51.4974346,9.8796799 51.497437,9.879527 51.497422,9.8793491 51.4974268,9.8790886 51.4975291,9.8789645 51.4975561,9.8786155 51.4976147,9.8781739 51.4976851,9.877579 51.4976987,9.8777265 51.5006907,9.8776828 51.500686,9.8758925 51.5004926,9.8757279 51.5004748,9.8756989 51.5004719,9.8755599 51.5010097,9.8754202 51.5009968,9.8720844 51.500652,9.8720153 51.5006089,9.8719824 51.5005339,9.8720453 51.5003429,9.8704642 51.5001568,9.8703202 51.5001288,9.8702033 51.500341,9.869463 51.5001544,9.8694012 51.5002438,9.8693303 51.5003501,9.8689613 51.5009043,9.8685405 51.5015507,9.8672409 51.5015658,9.8676091 51.5008304,9.8676613 51.5007262,9.8679213 51.5004139,9.868371 51.5001835,9.8685331 51.5000788,9.8686743 51.5000179,9.8688481 51.4999703,9.8690619 51.4999196,9.8692794 51.4998903,9.8696365 51.499899,9.8698191 51.4999035,9.8700875 51.4995278,9.8702925 51.4992647,9.8703772 51.4991344,9.8704433 51.4990071,9.8704885 51.4988854,9.8705409 51.4986628,9.870551 51.4984637,9.8705785 51.4980344,9.8705775 51.4979511,9.8706306 51.4976,9.8706977 51.4972189,9.870771 51.4968587,9.8707912 51.496735,9.8743874 51.4969468,9.8743853 51.4970048,9.8745158 51.4970146,9.8745634 51.4970182,9.8774972 51.4972383,9.8775047 51.4976353)"
